iter	MultiLogloss	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3	Recall:class=4	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4
0	0.6348737853	0.02234636872	0	0.03092783505	0.04109589041	0.01369863014	0.04347826087	0	0.05940594059	0.07792207792	0.02702702703	0.8	1	0.75	0.75	1
1	0.5818766361	0.4804469274	0	0.03092783505	0.01369863014	0	0.5611745514	0	0.06	0.02702702703	0	0.6745098039	1	1	1	1
2	0.5368758817	0.5251396648	0	0.01030927835	0.01369863014	0	0.5930599369	0	0.02040816327	0.02702702703	0	0.6811594203	1	1	1	1
3	0.4971120626	0.6229050279	0	0.01030927835	0	0	0.6840490798	0	0.02040816327	0	0	0.7585034014	1	1	1	1
4	0.4655442721	0.6759776536	0	0	0	0	0.7117647059	0	0	0	0	0.751552795	1	1	1	1
5	0.4447807216	0.6983240223	0	0	0	0	0.7163323782	0	0	0	0	0.7352941176	1	1	1	1
6	0.4234325046	0.7709497207	0	0.01030927835	0	0	0.74393531	0	0.02040816327	0	0	0.71875	1	1	1	1
7	0.4050087415	0.7737430168	0	0.0206185567	0	0	0.7396528705	0	0.0404040404	0	0	0.7084398977	1	1	1	1
8	0.3891347081	0.7737430168	0	0	0	0	0.7357237716	0	0	0	0	0.7012658228	1	1	1	1
9	0.3754735552	0.782122905	0	0.01030927835	0	0	0.7557354926	0	0.02040816327	0	0	0.7310704961	1	1	1	1
10	0.3663403751	0.7877094972	0	0.01030927835	0	0	0.7590847914	0	0.02040816327	0	0	0.7324675325	1	1	1	1
11	0.3566044688	0.8072625698	0	0.01030927835	0	0	0.7675962815	0	0.02040816327	0	0	0.7316455696	1	1	1	1
12	0.3509335508	0.8016759777	0	0.01030927835	0	0	0.7653333333	0	0.02040816327	0	0	0.7321428571	1	1	1	1
13	0.3439562924	0.8072625698	0	0.01030927835	0	0	0.7686170213	0	0.02040816327	0	0	0.7335025381	1	1	1	1
14	0.3375484174	0.8072625698	0	0.01030927835	0	0	0.7625329815	0	0.02040816327	0	0	0.7225	1	1	1	1
15	0.3315400509	0.812849162	0	0.01030927835	0	0	0.7708609272	0	0.02040816327	0	0	0.7329974811	1	1	1	1
16	0.3265740411	0.8156424581	0	0.01030927835	0	0	0.7735099338	0	0.02040816327	0	0	0.7355163728	1	1	1	1
17	0.3213953312	0.8184357542	0	0.01030927835	0	0	0.7761589404	0	0.02040816327	0	0	0.7380352645	1	1	1	1
18	0.3163457845	0.8212290503	0	0.01030927835	0	0	0.7767503303	0	0.02040816327	0	0	0.7368421053	1	1	1	1
19	0.3131299258	0.8212290503	0	0.01030927835	0	0	0.7798408488	0	0.02040816327	0	0	0.7424242424	1	1	1	1
20	0.309603322	0.8072625698	0	0.01030927835	0	0	0.7747989276	0	0.02040816327	0	0	0.7448453608	1	1	1	1
21	0.3066738502	0.8016759777	0	0.01030927835	0	0	0.7746288799	0	0.02040816327	0	0	0.7493472585	1	1	1	1
22	0.3039569575	0.8156424581	0	0.01030927835	0	0	0.7838926174	0	0.02040816327	0	0	0.7545219638	1	1	1	1
23	0.3009278084	0.8100558659	0	0.0206185567	0	0	0.7754010695	0	0.0404040404	0	0	0.7435897436	1	1	1	1
24	0.2984910117	0.8184357542	0	0.0206185567	0	0	0.7792553191	0	0.0404040404	0	0	0.7436548223	1	1	1	1
25	0.2961335867	0.8184357542	0	0.0206185567	0	0	0.7802929427	0	0.0404040404	0	0	0.7455470738	1	1	1	1
26	0.2947173123	0.8072625698	0	0.0206185567	0	0	0.7747989276	0	0.0404040404	0	0	0.7448453608	1	1	1	1
27	0.2937970315	0.8072625698	0	0.0206185567	0	0	0.7747989276	0	0.0404040404	0	0	0.7448453608	1	1	1	1
28	0.2918998252	0.8100558659	0	0.0206185567	0	0	0.7795698925	0	0.0404040404	0	0	0.7512953368	1	1	1	1
29	0.2900613136	0.8156424581	0	0.0206185567	0	0	0.7807486631	0	0.0404040404	0	0	0.7487179487	1	1	1	1
30	0.2884371444	0.812849162	0	0.0206185567	0	0	0.7833109017	0	0.0404040404	0	0	0.7558441558	1	1	1	1
31	0.2862633145	0.812849162	0	0.0206185567	0	0	0.7854251012	0	0.0404040404	0	0	0.7597911227	1	1	1	1
32	0.2833941995	0.8212290503	0	0.0206185567	0	0	0.7924528302	0	0.0404040404	0	0	0.765625	1	1	1	1
33	0.2798916098	0.8156424581	0	0.0206185567	0	0	0.7881241565	0	0.0404040404	0	0	0.7624020888	1	1	1	1
34	0.278759186	0.8184357542	0	0.0206185567	0	0	0.7897574124	0	0.0404040404	0	0	0.7630208333	1	1	1	1
35	0.2767331818	0.8156424581	0	0.0206185567	0	0	0.7934782609	0	0.0404040404	0	0	0.7724867725	1	1	1	1
36	0.2746908214	0.8100558659	0	0.0412371134	0	0	0.7891156463	0	0.07920792079	0	0	0.7692307692	1	1	1	1
37	0.2736840399	0.812849162	0	0.0412371134	0	0	0.789687924	0	0.07920792079	0	0	0.7678100264	1	1	1	1
38	0.2721896255	0.8156424581	0	0.0412371134	0	0	0.795640327	0	0.07920792079	0	0	0.7765957447	1	1	1	1
39	0.2713620108	0.8156424581	0	0.0412371134	0.01369863014	0	0.795640327	0	0.07920792079	0.02702702703	0	0.7765957447	1	1	1	1
40	0.2704921042	0.8156424581	0	0.0618556701	0.01369863014	0	0.7967257844	0	0.1165048544	0.02702702703	0	0.7786666667	1	1	1	1
41	0.269685965	0.8156424581	0	0.0618556701	0.01369863014	0	0.7967257844	0	0.1165048544	0.02702702703	0	0.7786666667	1	1	1	1
42	0.2688803599	0.8156424581	0	0.0618556701	0.01369863014	0	0.7978142077	0	0.1165048544	0.02702702703	0	0.7807486631	1	1	1	1
43	0.2675773682	0.812849162	0	0.0618556701	0.01369863014	0	0.7994505495	0	0.1165048544	0.02702702703	0	0.7864864865	1	1	1	1
44	0.2658893271	0.8184357542	0	0.0618556701	0.01369863014	0	0.802739726	0	0.1165048544	0.02702702703	0	0.7876344086	1	1	1	1
45	0.264917683	0.8156424581	0	0.0618556701	0.01369863014	0	0.8021978022	0	0.1165048544	0.02702702703	0	0.7891891892	1	1	1	1
46	0.262656832	0.8184357542	0	0.0618556701	0.01369863014	0	0.8060522696	0	0.1165048544	0.02702702703	0	0.7940379404	1	1	1	1
47	0.2613755094	0.8156424581	0	0.07216494845	0.01369863014	0	0.8055172414	0	0.1346153846	0.02702702703	0	0.795640327	1	1	1	1
48	0.2610599273	0.8184357542	0	0.07216494845	0.01369863014	0	0.8071625344	0	0.1346153846	0.02702702703	0	0.7961956522	1	1	1	1
49	0.258109816	0.8212290503	0	0.07216494845	0.01369863014	0	0.8099173554	0	0.1346153846	0.02702702703	0	0.7989130435	1	1	1	1
50	0.257521909	0.8212290503	0	0.07216494845	0.01369863014	0	0.8099173554	0	0.1346153846	0.02702702703	0	0.7989130435	1	1	1	1
51	0.2563960952	0.8212290503	0	0.07216494845	0.01369863014	0	0.8110344828	0	0.1346153846	0.02702702703	0	0.8010899183	1	1	1	1
52	0.2550013782	0.8184357542	0	0.07216494845	0.02739726027	0	0.8082758621	0	0.1346153846	0.05333333333	0	0.7983651226	1	1	1	1
53	0.2534474948	0.8184357542	0	0.07216494845	0.02739726027	0	0.8082758621	0	0.1346153846	0.05333333333	0	0.7983651226	1	1	1	1
54	0.2529997563	0.8184357542	0	0.07216494845	0.04109589041	0.01369863014	0.8093922652	0	0.1346153846	0.07894736842	0.02702702703	0.8005464481	1	1	1	1
55	0.2512311861	0.8212290503	0	0.07216494845	0.04109589041	0.01369863014	0.8121546961	0	0.1346153846	0.07894736842	0.02702702703	0.8032786885	1	1	1	1
56	0.2503405237	0.8212290503	0	0.07216494845	0.04109589041	0	0.8121546961	0	0.1346153846	0.07894736842	0	0.8032786885	1	1	1	1
57	0.2486114556	0.8240223464	0	0.0824742268	0.04109589041	0.01369863014	0.81604426	0	0.1523809524	0.07894736842	0.02702702703	0.8082191781	1	1	1	1
58	0.2471521346	0.8240223464	0	0.0824742268	0.04109589041	0.01369863014	0.8183079057	0	0.1523809524	0.07894736842	0.02702702703	0.8126721763	1	1	1	1
59	0.245387545	0.8212290503	0	0.0824742268	0.04109589041	0.01369863014	0.8155339806	0	0.1523809524	0.07894736842	0.02702702703	0.8099173554	1	1	1	1
60	0.243927893	0.8212290503	0	0.0824742268	0.04109589041	0.01369863014	0.8155339806	0	0.1523809524	0.07894736842	0.02702702703	0.8099173554	1	1	1	1
61	0.24216338	0.8268156425	0	0.0824742268	0.04109589041	0.01369863014	0.8210818308	0	0.1523809524	0.07894736842	0.02702702703	0.8154269972	1	1	1	1
62	0.240014122	0.8324022346	0	0.09278350515	0.05479452055	0.01369863014	0.8243430152	0	0.1698113208	0.1038961039	0.02702702703	0.8164383562	1	1	1	1
63	0.2388223899	0.8268156425	0	0.09278350515	0.05479452055	0.01369863014	0.8233657858	0	0.1698113208	0.1038961039	0.02702702703	0.8199445983	1	1	1	1
64	0.2379177369	0.8324022346	0	0.09278350515	0.05479452055	0.01369863014	0.826629681	0	0.1698113208	0.1038961039	0.02702702703	0.8209366391	1	1	1	1
65	0.2375380009	0.8296089385	0	0.0824742268	0.05479452055	0.01369863014	0.825	0	0.1523809524	0.1038961039	0.02702702703	0.820441989	1	1	1	1
66	0.2366166253	0.8268156425	0	0.1030927835	0.06849315068	0.01369863014	0.8245125348	0	0.1869158879	0.1282051282	0.02702702703	0.8222222222	1	1	1	1
67	0.2351580725	0.8268156425	0	0.1237113402	0.06849315068	0.01369863014	0.8233657858	0	0.2201834862	0.1282051282	0.02702702703	0.8199445983	1	1	1	1
68	0.2341734117	0.8296089385	0	0.1134020619	0.06849315068	0.01369863014	0.8307692308	0	0.2037037037	0.1282051282	0.02702702703	0.8319327731	1	1	1	1
69	0.2335627813	0.8268156425	0	0.1134020619	0.06849315068	0.01369863014	0.8291316527	0	0.2037037037	0.1282051282	0.02702702703	0.8314606742	1	1	1	1
70	0.2329503662	0.8268156425	0	0.1237113402	0.06849315068	0.01369863014	0.8291316527	0	0.2201834862	0.1282051282	0.02702702703	0.8314606742	1	1	1	1
71	0.2324029952	0.8268156425	0	0.1443298969	0.06849315068	0.01369863014	0.8314606742	0	0.2522522523	0.1282051282	0.02702702703	0.8361581921	1	1	1	1
72	0.2311675347	0.8268156425	0.0625	0.1443298969	0.06849315068	0.01369863014	0.8302945302	0.1176470588	0.2522522523	0.1282051282	0.02702702703	0.8338028169	1	1	1	1
73	0.2294153395	0.8268156425	0.0625	0.1855670103	0.08219178082	0.01369863014	0.8326300985	0.1176470588	0.3130434783	0.1518987342	0.02702702703	0.8385269122	1	1	1	1
74	0.2288768395	0.8268156425	0.0625	0.175257732	0.08219178082	0.02739726027	0.8326300985	0.1176470588	0.298245614	0.1518987342	0.05333333333	0.8385269122	1	1	1	1
75	0.2275302472	0.8240223464	0.0625	0.175257732	0.08219178082	0.02739726027	0.8298171589	0.1176470588	0.298245614	0.1518987342	0.05333333333	0.835694051	1	1	1	1
76	0.2254741914	0.8268156425	0.0625	0.1855670103	0.08219178082	0.04109589041	0.8326300985	0.1176470588	0.3130434783	0.1518987342	0.07894736842	0.8385269122	1	1	1	1
77	0.2249031459	0.8240223464	0.0625	0.1855670103	0.08219178082	0.04109589041	0.8333333333	0.1176470588	0.3130434783	0.1518987342	0.07894736842	0.8428571429	1	1	1	1
78	0.2236872709	0.8240223464	0.0625	0.1958762887	0.1095890411	0.04109589041	0.832157969	0.1176470588	0.3275862069	0.1975308642	0.07894736842	0.8404558405	1	1	1	1
79	0.2233751031	0.8240223464	0.0625	0.1958762887	0.1095890411	0.04109589041	0.832157969	0.1176470588	0.3275862069	0.1975308642	0.07894736842	0.8404558405	1	1	1	1
80	0.2224823933	0.8240223464	0.0625	0.1958762887	0.1232876712	0.04109589041	0.8345120226	0.1176470588	0.3275862069	0.2195121951	0.07894736842	0.8452722063	1	1	1	1
81	0.221761001	0.8268156425	0.0625	0.1855670103	0.1232876712	0.04109589041	0.8349788434	0.1176470588	0.3130434783	0.2195121951	0.07894736842	0.8433048433	1	1	1	1
82	0.2200389449	0.8324022346	0.0625	0.1958762887	0.1232876712	0.04109589041	0.8370786517	0.1176470588	0.3275862069	0.2195121951	0.07894736842	0.8418079096	1	1	1	1
83	0.2190961625	0.8268156425	0.09375	0.1958762887	0.1369863014	0.04109589041	0.8314606742	0.1714285714	0.3275862069	0.2409638554	0.07894736842	0.8361581921	1	1	1	1
84	0.2188419008	0.8296089385	0.09375	0.206185567	0.1369863014	0.04109589041	0.8330995792	0.1714285714	0.3418803419	0.2409638554	0.07894736842	0.8366197183	1	1	1	1
85	0.2178970556	0.8324022346	0.125	0.206185567	0.1369863014	0.06849315068	0.8359046283	0.2222222222	0.3418803419	0.2409638554	0.1282051282	0.8394366197	1	1	1	1
86	0.217671765	0.8324022346	0.125	0.206185567	0.1369863014	0.06849315068	0.8359046283	0.2222222222	0.3418803419	0.2409638554	0.1282051282	0.8394366197	1	1	1	1
87	0.2171135619	0.8324022346	0.125	0.206185567	0.1369863014	0.06849315068	0.8359046283	0.2222222222	0.3418803419	0.2409638554	0.1282051282	0.8394366197	1	1	1	1
88	0.2161695267	0.8324022346	0.125	0.206185567	0.1369863014	0.08219178082	0.8382559775	0.2222222222	0.3418803419	0.2409638554	0.1518987342	0.8441926346	1	1	1	1
89	0.2148056741	0.8296089385	0.15625	0.206185567	0.1369863014	0.06849315068	0.8401697313	0.2702702703	0.3418803419	0.2409638554	0.1282051282	0.8510028653	1	1	1	1
90	0.2133020431	0.8296089385	0.125	0.206185567	0.1369863014	0.08219178082	0.8401697313	0.2222222222	0.3418803419	0.2409638554	0.1518987342	0.8510028653	1	1	1	1
91	0.2125601323	0.8324022346	0.125	0.2268041237	0.1506849315	0.08219178082	0.8429985856	0.2222222222	0.3697478992	0.2619047619	0.1518987342	0.8538681948	1	1	1	1
92	0.2122422795	0.8324022346	0.125	0.2371134021	0.1643835616	0.08219178082	0.8429985856	0.2222222222	0.3833333333	0.2823529412	0.1518987342	0.8538681948	1	1	1	1
93	0.2120579366	0.8324022346	0.125	0.2474226804	0.1643835616	0.08219178082	0.8429985856	0.2222222222	0.3966942149	0.2823529412	0.1518987342	0.8538681948	1	1	1	1
94	0.2118838231	0.8324022346	0.15625	0.2474226804	0.1643835616	0.08219178082	0.8429985856	0.2702702703	0.3966942149	0.2823529412	0.1518987342	0.8538681948	1	1	1	1
95	0.2101807599	0.8324022346	0.125	0.2474226804	0.1643835616	0.1095890411	0.8453900709	0.2222222222	0.3966942149	0.2823529412	0.1975308642	0.8587896254	1	1	1	1
96	0.2099042705	0.8324022346	0.125	0.2371134021	0.1643835616	0.1095890411	0.8453900709	0.2222222222	0.3833333333	0.2823529412	0.1975308642	0.8587896254	1	1	1	1
97	0.2089834217	0.8324022346	0.125	0.2371134021	0.1643835616	0.1095890411	0.8465909091	0.2222222222	0.3833333333	0.2823529412	0.1975308642	0.8612716763	1	1	1	1
98	0.2088546768	0.8324022346	0.125	0.2371134021	0.1643835616	0.1095890411	0.8465909091	0.2222222222	0.3833333333	0.2823529412	0.1975308642	0.8612716763	1	1	1	1
99	0.2074988434	0.8324022346	0.15625	0.2474226804	0.1643835616	0.1232876712	0.8465909091	0.2702702703	0.3966942149	0.2823529412	0.2195121951	0.8612716763	1	1	1	1
